Id,LotFrontage,LotArea,Street,Alley,Utilities,OverallQual,YearBuilt,TotalBsmtSF,CentralAir,Electrical,GrLivArea,PavedDrive,EnclosedPorch,PoolArea,Fence,SaleCondition_Abnorml,SaleCondition_Normal,SaleCondition_Partial,MSZoning_C (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,NearArtery_or_Feedr,PositiveFeat,RegularityOfShape,BsmtQuartersQ,DeductionsFunctional,MeanSalePriceOfNeighbours,TotBath,KitchensRating,FireplacesRating,GarageRating,log_GrLivArea,log1_TotalBsmtSF,log_SalePrice
1,65.0,8450,2,0.0,4,7,2003,856,1,0.0,1710,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,197965.77333333332,3.5,4,0,6,7.444248649496705,6.75343791859778,12.247694320220994
2,80.0,9600,2,0.0,4,6,1976,1262,1,0.0,1262,3,0,0,0.0,0,1,0,0,0,1,0,1,0,1,2.0,0.0,238772.7272727273,2.5,3,3,6,7.140453043101158,7.141245122350491,12.109010932687042
3,68.0,11250,2,0.0,4,7,2001,920,1,0.0,1786,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,197965.77333333332,3.5,4,3,6,7.487733761436444,6.825460036255307,12.31716669303576
4,60.0,9550,2,0.0,4,7,1915,756,1,0.0,1717,3,272,0,0.0,1,0,0,0,0,1,0,0,0,1,2.0,0.0,210624.72549019608,2.0,4,4,9,7.448333860897476,6.6293632534374485,11.84939770159144
5,84.0,14260,2,0.0,4,8,2000,1145,1,0.0,2198,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,335295.31707317074,3.5,4,3,9,7.6953031349635665,7.044032897274685,12.429216196844383
6,85.0,14115,2,0.0,4,5,1993,796,1,0.0,1362,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,156270.12244897962,2.5,3,0,6,7.216709486709457,6.680854678790215,11.870599909242044
7,75.0,10084,2,0.0,4,8,2004,1686,1,0.0,1694,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,225379.8372093023,3.0,4,4,6,7.434847875211999,7.430707082545968,12.634603026569334
8,70.6246105919003,10382,2,0.0,4,7,1973,1107,1,0.0,2090,3,228,0,0.0,0,1,0,0,0,1,0,0,1,1,3.0,0.0,189050.0684931507,3.5,3,6,6,7.644919344958857,7.010311867307229,12.206072645530174
9,51.0,6120,2,0.0,4,7,1931,952,1,0.0,1774,3,205,0,0.0,1,0,0,0,0,0,1,1,0,1,0.0,1.0,128225.30088495574,2.0,6,6,4,7.480992162869525,6.859614903654202,11.77452020265869
10,50.0,7420,2,0.0,4,5,1939,991,1,0.0,1077,3,0,0,0.0,0,1,0,0,0,1,0,1,0,1,3.0,0.0,124834.05172413793,2.0,6,6,4,6.981934677156389,6.899723107284872,11.678439903447801
11,70.0,11200,2,0.0,4,5,1965,1040,1,0.0,1040,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,136793.13513513515,2.0,3,0,3,6.946975992135418,6.947937068614969,11.771436160121729
12,85.0,11924,2,0.0,4,9,2005,1175,1,0.0,2324,3,0,0,0.0,0,0,1,0,0,1,0,0,0,1,3.0,0.0,316270.6233766234,4.0,5,8,9,7.751045117971802,7.069874128458572,12.751299696013497
13,62.54807692307692,12968,2,0.0,4,5,1962,912,1,0.0,912,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0,2.0,0.0,136793.13513513515,2.0,3,0,3,6.815639990074331,6.816735880594968,11.877568578558138
14,91.0,10652,2,0.0,4,7,2006,1494,1,0.0,1494,3,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,197965.77333333332,2.0,4,4,9,7.309212365692763,7.3098814858247865,12.540757571577291
15,62.54807692307692,10920,2,0.0,4,6,1960,1253,1,0.0,1253,3,176,0,1.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,145847.08,2.5,3,2,3,7.133295954896068,7.134093721192866,11.964001084330445
16,51.0,6120,2,0.0,4,7,1929,832,1,0.0,854,3,0,0,1.0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,124834.05172413793,1.0,3,0,6,6.74993119378857,6.725033642166843,11.790557201568507
17,70.6246105919003,11241,2,0.0,4,6,1970,1004,1,0.0,1004,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,2.0,0.0,145847.08,2.0,3,3,6,6.911747300251674,6.912742820493176,11.911701584927597
18,72.0,10791,2,0.0,4,4,1967,0,1,0.0,1296,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,136793.13513513515,2.0,6,0,6,7.16703787691222,0.0,11.407564949312402
19,66.0,13695,2,0.0,4,5,2004,1114,1,0.0,1114,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,186555.7966101695,2.5,4,0,6,7.01571242048723,7.016609683894219,11.976659481202368
20,70.0,7560,2,0.0,4,5,1958,1029,1,0.0,1339,3,0,0,1.0,1,0,0,0,0,1,0,0,0,1,0.0,1.0,145847.08,1.0,3,0,3,7.199678345691172,6.937314081223682,11.842229212112828
21,101.0,14215,2,0.0,4,8,2005,1158,1,0.0,2376,3,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,316270.6233766234,3.5,4,4,9,7.773173680482536,7.055312843339752,12.692503112461443
22,57.0,7449,2,1.0,4,7,1930,637,1,0.0,1108,1,205,0,1.0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,100123.7837837838,1.0,4,4,3,7.010311867307229,6.45833828334479,11.845102777308561
23,75.0,9742,2,0.0,4,8,2002,1777,1,0.0,1795,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,197965.77333333332,2.0,4,4,6,7.492760300922379,7.48324441607385,12.345834587905333
24,44.0,4224,2,0.0,4,5,1976,1040,1,0.0,1060,3,0,0,0.0,0,1,0,0,0,0,1,0,0,1,3.0,0.0,98576.47058823529,2.0,3,3,6,6.966024187106113,6.947937068614969,11.77452020265869
25,62.54807692307692,8246,2,0.0,4,5,1968,1060,1,0.0,1060,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,2.0,0.0,136793.13513513515,2.0,4,3,3,6.966024187106113,6.966967138613983,11.944707881395766
26,110.0,14230,2,0.0,4,8,2007,1566,1,0.0,1600,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,316270.6233766234,2.0,4,4,9,7.3777589082278725,7.356918242356021,12.454103912352162
27,60.0,7200,2,0.0,4,5,1951,900,1,0.0,900,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,145847.08,1.5,4,0,6,6.802394763324311,6.803505257608338,11.811547477460344
28,98.0,11478,2,0.0,4,8,2007,1704,1,0.0,1704,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,316270.6233766234,3.0,4,4,9,7.440733707389261,7.4413203897176174,12.631340380934517
29,47.0,16321,2,0.0,4,5,1957,1484,1,0.0,1600,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,145847.08,2.0,3,8,3,7.3777589082278725,7.3031700512368,12.24288661865289
30,60.0,6324,2,0.0,4,4,1927,520,0,0.0,520,3,87,0,0.0,0,1,0,0,0,0,1,1,0,1,0.0,0.0,124834.05172413793,1.0,2,0,2,6.253828811575473,6.255750041753367,11.134589024250317
32,62.54807692307692,8544,2,0.0,4,5,1966,1228,1,0.0,1228,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,136793.13513513515,1.5,4,0,3,7.113142108707088,7.113956109566034,11.914047823644255
33,85.0,11049,2,0.0,4,8,2007,1234,1,0.0,1234,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,197965.77333333332,2.0,4,0,6,7.1180162044653335,7.118826249062078,12.100156419938624
34,70.0,10552,2,0.0,4,5,1959,1398,1,0.0,1700,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,145847.08,2.0,4,4,6,7.438383530044307,7.243512974665482,12.016726473799254
35,60.0,7313,2,0.0,4,9,2005,1561,1,0.0,1561,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,316270.6233766234,3.0,5,4,6,7.353081920515432,7.3537223303996315,12.533576212168626
36,108.0,13418,2,0.0,4,8,2004,1117,1,0.0,2452,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,316270.6233766234,3.5,4,4,9,7.804659297056102,7.0192966537150445,12.641096555879882
37,112.0,10859,2,0.0,4,5,1994,1097,1,0.0,1097,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,197965.77333333332,1.5,3,0,6,7.00033446027523,7.001245622069476,11.884489021402711
38,74.0,8532,2,0.0,4,5,1954,1297,1,0.0,1297,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,145847.08,1.5,3,3,6,7.167809184316444,7.168579897264035,11.938193200374572
39,68.0,7922,2,0.0,4,5,1953,1057,1,0.0,1057,3,0,0,0.0,1,0,0,0,0,1,0,0,0,1,3.0,0.0,145847.08,2.0,4,0,3,6.963189985870238,6.964135612418245,11.59910316121128
40,65.0,6040,2,0.0,4,4,1955,0,0,1.0,1152,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,128219.7,2.0,4,0,0,7.049254841255837,0.0,11.314474526246391
41,84.0,8658,2,0.0,4,6,1965,1088,1,0.0,1324,3,0,0,1.0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,145847.08,2.0,3,3,6,7.188412736496954,6.9930151229329605,11.982929094215963
42,115.0,16905,2,0.0,4,5,1959,1350,1,0.0,1328,2,0,0,0.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,242247.44736842107,2.0,3,8,3,7.191429330036379,7.208600337960199,12.043553716032399
43,70.6246105919003,9180,2,0.0,4,5,1983,840,1,0.0,884,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,2.0,0.0,186555.7966101695,2.0,4,0,6,6.784457062637643,6.734591659972948,11.877568578558138
44,62.54807692307692,9200,2,0.0,4,5,1975,938,1,0.0,938,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,197965.77333333332,2.0,3,0,3,6.843749949006225,6.844815479208263,11.777210959615614
45,70.0,7945,2,0.0,4,5,1959,1150,1,0.0,1150,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,145847.08,2.0,3,0,3,7.047517221357296,7.048386408721883,11.856515169360305
46,61.0,7658,2,0.0,4,9,2005,1752,1,0.0,1752,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,316270.6233766234,3.0,5,4,6,7.468513271496337,7.469083884921234,12.675763725937609
47,48.0,12822,2,0.0,4,7,2003,1434,1,0.0,2149,3,0,0,0.0,1,0,0,0,0,1,0,0,0,1,3.0,0.0,156270.12244897962,2.5,4,5,6,7.67275789664251,7.268920128193722,12.387085012375499
48,84.0,11096,2,0.0,4,8,2006,1656,1,0.0,1656,3,0,0,0.0,0,1,0,0,0,0,0,0,0,1,3.0,0.0,225379.8372093023,2.0,4,0,9,7.412160334945205,7.4127640174265625,12.428015476267865
49,33.0,4456,2,0.0,4,4,1920,736,1,0.0,1452,1,102,0,0.0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,128225.30088495574,2.0,9,0,0,7.280697195384741,6.602587892189336,11.635143097694478
50,66.0,7742,2,0.0,4,5,1966,955,1,0.0,955,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1,1.0,0.0,136793.13513513515,2.0,3,0,3,6.86171134048073,6.862757913051401,11.751942365440728
51,70.6246105919003,13869,2,0.0,4,6,1997,794,1,0.0,1470,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0,3.0,0.0,192854.50632911394,2.5,3,0,6,7.293017679772782,6.678342114654332,12.083905011555967
52,52.0,6240,2,0.0,4,6,1934,816,1,0.0,1176,3,0,0,1.0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,124834.05172413793,1.0,3,4,6,7.069874128458572,6.705639094860003,11.648330101976432
53,110.0,8472,1,0.0,4,5,1963,816,0,0.0,816,3,0,0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,0.0,100123.7837837838,2.0,3,0,6,6.704414354964107,6.705639094860003,11.608235644774552
54,68.0,50271,2,0.0,4,9,1981,1842,1,0.0,1842,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1,3.0,0.0,238772.7272727273,2.5,4,4,9,7.518607216815252,7.519149957669823,12.86099861326992
