Id,LotFrontage,LotArea,Street,Alley,Utilities,OverallQual,YearBuilt,TotalBsmtSF,CentralAir,Electrical,GrLivArea,PavedDrive,EnclosedPorch,PoolArea,Fence,SaleCondition_Abnorml,SaleCondition_Normal,SaleCondition_Partial,MSZoning_C (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,NearArtery_or_Feedr,PositiveFeat,BsmtQuartersQ,DeductionsFunctional,RegularityOfShape,means_neigh,TotBath,KitchensRating,FireplacesRating,GarageRating,HasBasement,SalePrice
1,65.0,8450,2,0.0,4,7,2003,6.752270376141742,1,0.0,7.444248649496705,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,197965.77333333332,3.5,4,0,6,1,12.247694320220994
2,80.0,9600,2,0.0,4,6,1976,7.140453043101158,1,0.0,7.140453043101158,3,0,0,0.0,0,1,0,0,0,1,0,1,0,2.0,0.0,1,238772.7272727273,2.5,3,3,6,1,12.109010932687042
3,68.0,11250,2,0.0,4,7,2001,6.824373670043086,1,0.0,7.487733761436444,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,197965.77333333332,3.5,4,3,6,1,12.31716669303576
4,60.0,9550,2,0.0,4,7,1915,6.628041376179533,1,0.0,7.448333860897476,3,272,0,0.0,1,0,0,0,0,1,0,0,0,2.0,0.0,1,210624.72549019608,2.0,4,4,9,1,11.84939770159144
5,84.0,14260,2,0.0,4,8,2000,7.0431599159883405,1,0.0,7.6953031349635665,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,335295.31707317074,3.5,4,3,9,1,12.429216196844383
6,85.0,14115,2,0.0,4,5,1993,6.679599185844383,1,0.0,7.216709486709457,3,0,0,1.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,156270.12244897962,2.5,3,0,6,1,11.870599909242044
7,75.0,10084,2,0.0,4,8,2004,7.430114138561801,1,0.0,7.434847875211999,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,225379.8372093023,3.0,4,4,6,1,12.634603026569334
8,70.6246105919003,10382,2,0.0,4,7,1973,7.009408932708637,1,0.0,7.644919344958857,3,228,0,0.0,0,1,0,0,0,1,0,0,1,3.0,0.0,1,189050.0684931507,3.5,3,6,6,1,12.206072645530174
9,51.0,6120,2,0.0,4,7,1931,6.858565034791365,1,0.0,7.480992162869525,3,205,0,0.0,1,0,0,0,0,0,1,1,0,0.0,1.0,1,128225.30088495574,2.0,6,6,4,1,11.77452020265869
10,50.0,7420,2,0.0,4,5,1939,6.898714534329988,1,0.0,6.981934677156389,3,0,0,0.0,0,1,0,0,0,1,0,1,0,3.0,0.0,1,124834.05172413793,2.0,6,6,4,1,11.678439903447801
11,70.0,11200,2,0.0,4,5,1965,6.946975992135418,1,0.0,6.946975992135418,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,136793.13513513515,2.0,3,0,3,1,11.771436160121729
12,85.0,11924,2,0.0,4,9,2005,7.069023426578259,1,0.0,7.751045117971802,3,0,0,0.0,0,0,1,0,0,1,0,0,0,3.0,0.0,1,316270.6233766234,4.0,5,8,9,1,12.751299696013497
13,62.54807692307692,12968,2,0.0,4,5,1962,6.815639990074331,1,0.0,6.815639990074331,3,0,0,0.0,0,1,0,0,0,1,0,0,0,2.0,0.0,0,136793.13513513515,2.0,3,0,3,1,11.877568578558138
14,91.0,10652,2,0.0,4,7,2006,7.309212365692763,1,0.0,7.309212365692763,3,0,0,0.0,0,0,1,0,0,1,0,0,0,0.0,0.0,1,197965.77333333332,2.0,4,4,9,1,12.540757571577291
15,62.54807692307692,10920,2,0.0,4,6,1960,7.133295954896068,1,0.0,7.133295954896068,3,176,0,1.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,145847.08,2.5,3,2,3,1,11.964001084330445
16,51.0,6120,2,0.0,4,7,1929,6.723832440821209,1,0.0,6.74993119378857,3,0,0,1.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,124834.05172413793,1.0,3,0,6,1,11.790557201568507
17,70.6246105919003,11241,2,0.0,4,6,1970,6.911747300251674,1,0.0,6.911747300251674,3,0,0,0.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,145847.08,2.0,3,3,6,1,11.911701584927597
18,72.0,10791,2,0.0,4,4,1967,0.0,1,0.0,7.16703787691222,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,136793.13513513515,2.0,6,0,6,0,11.407564949312402
19,66.0,13695,2,0.0,4,5,2004,7.01571242048723,1,0.0,7.01571242048723,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,186555.7966101695,2.5,4,0,6,1,11.976659481202368
20,70.0,7560,2,0.0,4,5,1958,6.9363427358340495,1,0.0,7.199678345691172,3,0,0,1.0,1,0,0,0,0,1,0,0,0,0.0,1.0,1,145847.08,1.0,3,0,3,1,11.842229212112828
21,101.0,14215,2,0.0,4,8,2005,7.05444965813294,1,0.0,7.773173680482536,3,0,0,0.0,0,0,1,0,0,1,0,0,0,0.0,0.0,1,316270.6233766234,3.5,4,4,9,1,12.692503112461443
22,57.0,7449,2,1.0,4,7,1930,6.456769655572163,1,0.0,7.010311867307229,1,205,0,1.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,100123.7837837838,1.0,4,4,3,1,11.845102777308561
23,75.0,9742,2,0.0,4,8,2002,7.482681828154651,1,0.0,7.492760300922379,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,197965.77333333332,2.0,4,4,6,1,12.345834587905333
24,44.0,4224,2,0.0,4,5,1976,6.946975992135418,1,0.0,6.966024187106113,3,0,0,0.0,0,1,0,0,0,0,1,0,0,3.0,0.0,1,98576.47058823529,2.0,3,3,6,1,11.77452020265869
25,62.54807692307692,8246,2,0.0,4,5,1968,6.966024187106113,1,0.0,6.966024187106113,3,0,0,1.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,136793.13513513515,2.0,4,3,3,1,11.944707881395766
26,110.0,14230,2,0.0,4,8,2007,7.356279876550748,1,0.0,7.3777589082278725,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,316270.6233766234,2.0,4,4,9,1,12.454103912352162
27,60.0,7200,2,0.0,4,5,1951,6.802394763324311,1,0.0,6.802394763324311,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,145847.08,1.5,4,0,6,1,11.811547477460344
28,98.0,11478,2,0.0,4,8,2007,7.440733707389261,1,0.0,7.440733707389261,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,316270.6233766234,3.0,4,4,9,1,12.631340380934517
29,47.0,16321,2,0.0,4,5,1957,7.302496423727326,1,0.0,7.3777589082278725,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,145847.08,2.0,3,8,3,1,12.24288661865289
30,60.0,6324,2,0.0,4,4,1927,6.253828811575473,0,0.0,6.253828811575473,3,87,0,0.0,0,1,0,0,0,0,1,1,0,0.0,0.0,1,124834.05172413793,1.0,2,0,2,1,11.134589024250317
31,50.0,8500,2,2.0,4,4,1920,6.47543271670409,0,0.0,7.183111701743281,1,172,0,1.0,0,1,0,1,0,0,0,1,0,0.0,0.0,1,100123.7837837838,1.0,3,0,3,1,10.596634733096073
32,62.54807692307692,8544,2,0.0,4,5,1966,7.113142108707088,1,0.0,7.113142108707088,3,0,0,1.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,136793.13513513515,1.5,4,0,3,1,11.914047823644255
33,85.0,11049,2,0.0,4,8,2007,7.1180162044653335,1,0.0,7.1180162044653335,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,197965.77333333332,2.0,4,0,6,1,12.100156419938624
34,70.0,10552,2,0.0,4,5,1959,7.242797922793756,1,0.0,7.438383530044307,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,145847.08,2.0,4,4,6,1,12.016726473799254
35,60.0,7313,2,0.0,4,9,2005,7.353081920515432,1,0.0,7.353081920515432,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,316270.6233766234,3.0,5,4,6,1,12.533576212168626
36,108.0,13418,2,0.0,4,8,2004,7.018401799069201,1,0.0,7.804659297056102,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,316270.6233766234,3.5,4,4,9,1,12.641096555879882
37,112.0,10859,2,0.0,4,5,1994,7.00033446027523,1,0.0,7.00033446027523,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,197965.77333333332,1.5,3,0,6,1,11.884489021402711
38,74.0,8532,2,0.0,4,5,1954,7.167809184316444,1,0.0,7.167809184316444,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,145847.08,1.5,3,3,6,1,11.938193200374572
39,68.0,7922,2,0.0,4,5,1953,6.963189985870238,1,0.0,6.963189985870238,3,0,0,0.0,1,0,0,0,0,1,0,0,0,3.0,0.0,1,145847.08,2.0,4,0,3,1,11.59910316121128
40,65.0,6040,2,0.0,4,4,1955,0.0,0,1.0,7.049254841255837,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,128219.7,2.0,4,0,0,0,11.314474526246391
41,84.0,8658,2,0.0,4,6,1965,6.992096427415888,1,0.0,7.188412736496954,3,0,0,1.0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,145847.08,2.0,3,3,6,1,11.982929094215963
42,115.0,16905,2,0.0,4,5,1959,7.2078598714324755,1,0.0,7.191429330036379,2,0,0,0.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,242247.44736842107,2.0,3,8,3,1,12.043553716032399
43,70.6246105919003,9180,2,0.0,4,5,1983,6.733401891837359,1,0.0,6.784457062637643,3,0,0,1.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,186555.7966101695,2.0,4,0,6,1,11.877568578558138
44,62.54807692307692,9200,2,0.0,4,5,1975,6.843749949006225,1,0.0,6.843749949006225,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,197965.77333333332,2.0,3,0,3,1,11.777210959615614
45,70.0,7945,2,0.0,4,5,1959,7.047517221357296,1,0.0,7.047517221357296,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,145847.08,2.0,3,0,3,1,11.856515169360305
46,61.0,7658,2,0.0,4,9,2005,7.468513271496337,1,0.0,7.468513271496337,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,316270.6233766234,3.0,5,4,6,1,12.675763725937609
47,48.0,12822,2,0.0,4,7,2003,7.2682230211595655,1,0.0,7.67275789664251,3,0,0,0.0,1,0,0,0,0,1,0,0,0,3.0,0.0,1,156270.12244897962,2.5,4,5,6,1,12.387085012375499
48,84.0,11096,2,0.0,4,8,2006,7.412160334945205,1,0.0,7.412160334945205,3,0,0,0.0,0,1,0,0,0,0,0,0,0,3.0,0.0,1,225379.8372093023,2.0,4,0,9,1,12.428015476267865
49,33.0,4456,2,0.0,4,4,1920,6.601230118728877,1,0.0,7.280697195384741,1,102,0,0.0,0,0,1,0,0,0,1,0,0,0.0,0.0,1,128225.30088495574,2.0,9,0,0,1,11.635143097694478
50,66.0,7742,2,0.0,4,5,1966,6.86171134048073,1,0.0,6.86171134048073,3,0,0,1.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,136793.13513513515,2.0,3,0,3,1,11.751942365440728
51,70.6246105919003,13869,2,0.0,4,6,1997,6.677083461247136,1,0.0,7.293017679772782,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,0,192854.50632911394,2.5,3,0,6,1,12.083905011555967
52,52.0,6240,2,0.0,4,6,1934,6.704414354964107,1,0.0,7.069874128458572,3,0,0,1.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,124834.05172413793,1.0,3,4,6,1,11.648330101976432
53,110.0,8472,1,0.0,4,5,1963,6.704414354964107,0,0.0,6.704414354964107,3,0,0,0.0,0,1,0,0,0,0,1,0,0,3.0,0.0,0,100123.7837837838,2.0,3,0,6,1,11.608235644774552
54,68.0,50271,2,0.0,4,9,1981,7.518607216815252,1,0.0,7.518607216815252,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,238772.7272727273,2.5,4,4,9,1,12.86099861326992
55,60.0,7134,2,0.0,4,5,1955,5.950642552587727,1,0.0,7.215239978730097,3,0,0,1.0,0,1,0,0,0,1,0,0,0,2.0,1.0,1,145847.08,1.0,3,3,6,1,11.77528972943772
56,100.0,10175,2,0.0,4,6,1964,7.261927092702751,1,0.0,7.261927092702751,3,0,0,0.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,145847.08,2.0,3,4,6,1,12.103486056755072
57,24.0,2645,2,2.0,4,8,1999,6.877296071497429,1,0.0,7.461065514354283,3,0,0,0.0,1,0,0,0,0,0,0,0,0,3.0,0.0,1,225379.8372093023,3.5,4,0,6,1,12.058152515453552
58,89.0,11645,2,0.0,4,7,2004,6.756932389247553,1,0.0,7.450079569807499,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,197965.77333333332,2.5,4,0,6,1,12.188417710291453
59,66.0,13682,2,0.0,4,10,2006,7.251344983372214,1,0.0,7.987864096085687,3,37,0,0.0,0,0,1,0,0,1,0,0,0,0.0,0.0,0,310499.0,3.5,4,4,9,1,12.991753427493052
60,60.0,7200,2,0.0,4,5,1972,6.659293919683638,1,0.0,6.659293919683638,3,0,0,1.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,197965.77333333332,1.0,3,0,3,1,11.73526869611367
61,63.0,13072,2,0.0,4,6,2004,7.05444965813294,1,0.0,7.05444965813294,3,0,0,0.0,0,0,1,0,0,1,0,0,0,2.0,0.0,1,186555.7966101695,2.5,4,0,6,1,11.970350312009105
62,60.0,7200,2,0.0,4,5,1920,6.272877006546167,0,0.0,7.01301578963963,1,144,0,0.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,100123.7837837838,1.0,2,0,3,1,11.522875795823397
63,44.0,6442,2,0.0,4,8,2006,7.222566018822171,1,0.0,7.222566018822171,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,316270.6233766234,2.0,4,4,6,1,12.218495165528731
64,50.0,10300,2,0.0,4,7,1921,6.3561076606958915,1,0.0,7.444248649496705,3,64,0,1.0,0,1,0,0,0,0,1,1,0,0.0,0.0,1,128225.30088495574,2.0,3,0,6,1,11.84939770159144
65,70.6246105919003,9375,2,0.0,4,7,1997,6.963189985870238,1,0.0,7.617759576608505,3,0,0,1.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,197965.77333333332,3.5,4,0,6,1,12.299107511497363
66,76.0,9591,2,0.0,4,8,2004,7.04141166379481,1,0.0,7.813187267521416,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,316270.6233766234,2.5,4,4,9,1,12.666657052859417
67,70.6246105919003,19900,2,0.0,4,7,1970,7.5740450053721995,1,0.0,7.699389406256737,3,0,0,0.0,0,1,0,0,0,1,0,0,1,3.0,1.0,1,145847.08,3.0,3,4,6,1,12.100712129872347
68,72.0,10665,2,0.0,4,7,2003,7.2813856635702825,1,0.0,7.2991214627108,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,197965.77333333332,3.0,4,0,6,1,12.328290278254423
69,47.0,4608,2,0.0,4,4,1945,6.616065185132817,1,0.0,6.616065185132817,3,0,0,0.0,0,1,0,0,0,0,1,1,0,0.0,0.0,1,128225.30088495574,1.0,3,0,3,1,11.289781913656018
70,81.0,15593,2,0.0,4,7,1953,7.1731917424865985,1,0.0,7.734996194022781,3,114,0,0.0,0,1,0,0,0,1,0,0,0,1.0,0.0,1,212565.42857142855,2.0,3,3,6,1,12.323855681186558
71,95.0,13651,2,0.0,4,7,1973,7.706612913964197,1,0.0,7.706612913964197,3,0,0,0.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,145847.08,3.0,3,8,6,1,12.404923504275338
72,69.0,7599,2,0.0,4,4,1982,6.739336627357174,1,0.0,6.739336627357174,3,0,0,0.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,156270.12244897962,2.0,3,0,6,1,11.771436160121729
73,74.0,10141,2,0.0,4,7,1998,6.723832440821209,1,0.0,7.4489161025442,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,192854.50632911394,2.5,3,3,6,1,12.128111104060462
74,85.0,10200,2,0.0,4,5,1954,6.990256500493881,1,0.0,6.990256500493881,3,0,0,1.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,145847.08,2.0,3,0,6,1,11.883799128308773
75,60.0,5790,2,0.0,4,3,1915,6.733401891837359,0,0.0,7.380879035564116,3,202,0,0.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,128225.30088495574,2.0,6,0,3,1,11.584315461056901
76,21.0,1596,2,0.0,4,4,1973,6.135564891081739,1,0.0,6.895682697747868,3,0,0,1.0,0,1,0,0,0,0,1,0,0,3.0,0.0,1,98576.47058823529,2.0,3,0,3,1,11.418614785498987
77,62.54807692307692,8475,2,0.0,4,4,1956,6.858565034791365,1,0.0,6.858565034791365,3,0,0,0.0,0,1,0,0,0,1,0,0,0,2.0,0.0,1,145847.08,1.0,3,0,3,1,11.818570237796182
78,50.0,8635,2,0.0,4,5,1948,6.51025834052315,1,0.0,7.158513997329321,3,0,0,1.0,0,1,0,0,0,0,1,0,0,4.0,1.0,1,124834.05172413793,2.0,3,0,3,1,11.751942365440728
79,72.0,10778,2,0.0,4,4,1968,7.477604243197589,0,0.0,7.477604243197589,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,136793.13513513515,2.0,6,0,0,1,11.824079893607152
80,60.0,10440,2,1.0,4,5,1910,6.0867747269123065,1,0.0,7.114769448366463,3,128,0,1.0,0,1,0,0,0,0,1,0,0,0.0,0.0,1,128225.30088495574,1.5,3,0,6,1,11.608235644774552
81,100.0,13000,2,0.0,4,6,1968,6.79794041297493,1,0.0,7.669495251007694,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,145847.08,2.5,4,4,3,1,12.173032791451973
82,32.0,4500,2,0.0,4,6,1998,7.1204443723924875,1,0.0,7.198183577101943,3,0,0,0.0,0,1,0,0,0,0,1,0,0,3.0,0.0,1,156270.12244897962,3.0,3,0,6,1,11.941455846009388
83,78.0,10206,2,0.0,4,8,2007,7.354362330421477,1,0.0,7.354362330421477,3,0,0,0.0,0,1,0,0,0,1,0,0,0,3.0,0.0,1,225379.8372093023,2.0,4,4,9,1,12.409013489526863
84,80.0,8892,2,0.0,4,5,1960,6.970730078143525,1,0.0,6.970730078143525,3,0,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,145847.08,1.5,3,0,6,1,11.747997587149712
